answer,caption,modality,pair_key,qa_id,question,section,source_answer,source_file,source_flags,source_question,source_severity,source_split_status,split_count,split_index,transform
A tea table setup.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__01,What is the first thing I see after the darkness?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,1,split_multi_question
A small clay teapot.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__02,What object did I see before the silver kettle?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,2,split_multi_question
Sugarcane stalks.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__03,What is on the far left of the scene?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,3,split_multi_question
A red woven basket.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__04,What is behind the tea tray?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,4,split_multi_question
The silver kettle.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__05,What did the hand interact with first?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,5,split_multi_question
The tea table with all objects.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__06,What is the final scene shown in the video?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,6,split_multi_question
No.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__07,Did the camera move between different rooms?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,7,split_multi_question
A silver kettle.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__08,What is to the right of the clay teapot?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,8,split_multi_question
Part of the red basket.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__09,What is located behind the glass jar?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,9,split_multi_question
Red.,"The video starts with a completely dark screen for the first 150 frames. Then, the scene brightens to reveal a tea table setup. The sequence begins with a static shot of the tea tray and surrounding objects. Around frame 000420, a hand enters the frame from the right to manipulate the silver kettle. The camera remains mostly stationary, focused on the tea preparation area, showing the cup, sugarcane, and the basket in the background throughout the rest of the video.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__10,What is the color of the basket in the background?,scene_sequence,1. A tea table setup. 2. A small clay teapot. 3. Sugarcane stalks. 4. A red woven basket. 5. The silver kettle. 6. The tea table with all objects. 7. No. 8. A silver kettle. 9. Part of the red basket. 10. Red.,qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. What is the first thing I see after the darkness? 2. What object did I see before the silver kettle? 3. What is on the far left of the scene? 4. What is behind the tea tray? 5. What did the hand interact with first? 6. What is the final scene shown in the video? 7. Did the camera move between different rooms? 8. What is to the right of the clay teapot? 9. What is located behind the glass jar? 10. What is the color of the basket in the background?,needs_transform,aligned,10,10,split_multi_question
On the metallic kettle and the pot lid.,"The primary light source is an overhead room light that illuminates the scene from above, creating strong highlights on the metallic surfaces of the silver kettle and the large pot lid. The light is a cool white color, and there are reflections of the windows or lights visible on the polished wooden table and the black glass surface of the tea tray.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_recognition__01,Where are the strongest light reflections visible in the scene?,light_recognition,On the metallic kettle and the pot lid.,qa_pairs/aligned/rgb_qa_results_aligned.json,,Where are the strongest light reflections visible in the scene?,pass,single,1,1,none
Turn on.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__01,Did the lights turn on or off at the beginning?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,1,split_multi_question
"No, it remains consistent.","The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__02,Is the light getting brighter or darker after the initial transition?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,2,split_multi_question
No.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__03,Is the light source moving?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,3,split_multi_question
No.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__04,Does the light color change?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,4,split_multi_question
No.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__05,Is there a flickering of the light?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,5,split_multi_question
No.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__06,Are there shadows moving across the table?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,6,split_multi_question
No.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__07,Does any external light like a car's headlight pass by?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,7,split_multi_question
Yes.,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__08,Is the final frame well-lit?,light_change,"1. Turn on. 2. No, it remains consistent. 3. No. 4. No. 5. No. 6. No. 7. No. 8. Yes.",qa_pairs/aligned/rgb_qa_results_aligned.json,multi_question;frame_reference,1. Did the lights turn on or off at the beginning? 2. Is the light getting brighter or darker after the initial transition? 3. Is the light source moving? 4. Does the light color change? 5. Is there a flickering of the light? 6. Are there shadows moving across the table? 7. Does any external light like a car's headlight pass by? 8. Is the final frame well-lit?,needs_transform,aligned,8,8,split_multi_question
