answer,answer_count,caption,confidence,end_seconds,end_timestamp,flags,modality,pair_index,question,question_count,recommended_action,section,segment_confidence,segment_id,severity,side,source_files,source_media,source_prefix,source_unit_index,split_status,start_seconds,start_timestamp,task_label,timestamp
Four.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,3,How many grey doors do I pass in the hallway?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,4,How many exit signs are visible in this segment?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,5,How many flights of stairs do I go down?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,6,How many posters are on the window sill?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One large window.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,[],rgb,7,How many windows are in the first room?,1,keep,counting,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
Two.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,8,How many light switches are seen near the first door?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,9,How many black chairs are in the room?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
One.,1,"I can identify several key objects: 1 bed, 1 desk, at least 4 grey doors in the hallway, 1 exit sign, and 1 metal stairwell. I also count 2 light switches near the bedroom door and 1Guy Fawkes poster on the window sill.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,10,How many handles are visible on the first grey door?,1,review,counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,1,single,0.0,00:00:00.000,walk to mailbox,
None.,1,"In this segment, there are no other humans or dynamic objects moving independently of my own motion. The environment is static as I walk through it.",0.85,64.0,00:01:04.000,"[""duplicate_question"", ""short_answer""]",rgb,1,How many people pass me in the hallway?,1,review,dynamic_counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,2,single,0.0,00:00:00.000,walk to mailbox,
No.,1,"In this segment, there are no other humans or dynamic objects moving independently of my own motion. The environment is static as I walk through it.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,2,Do any doors open on their own?,1,review,dynamic_counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,2,single,0.0,00:00:00.000,walk to mailbox,
None are visible moving.,1,"In this segment, there are no other humans or dynamic objects moving independently of my own motion. The environment is static as I walk through it.",0.85,64.0,00:01:04.000,[],rgb,3,Are there any cars moving outside the window?,1,keep,dynamic_counting,0.9,check_mailbox_day_seg_001,pass,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,2,single,0.0,00:00:00.000,walk to mailbox,
None.,1,"In this segment, there are no other humans or dynamic objects moving independently of my own motion. The environment is static as I walk through it.",0.85,64.0,00:01:04.000,"[""short_answer""]",rgb,4,How many pets are seen in the hallway?,1,review,dynamic_counting,0.9,check_mailbox_day_seg_001,quality_warning,day,"{""videos"": {""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4"", ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4""}, ""audio"": ""dataset\\check_mailbox_split\\check_mailbox_day.m4a"", ""with_audio"": null, ""rgb"": ""dataset\\check_mailbox_split\\check_mailbox_day_rgb.mp4"", ""event"": ""dataset\\check_mailbox_split\\check_mailbox_day_event.mp4"", ""depth"": ""dataset\\check_mailbox_split\\check_mailbox_day_depth.mp4"", ""ir"": ""dataset\\check_mailbox_split\\check_mailbox_day_ir.mp4""}",dataset\check_mailbox_split\check_mailbox_day_rgb.mp4,check_mailbox_day,2,single,0.0,00:00:00.000,walk to mailbox,
