answer,answer_count,caption,flags,modality,pair_key,qa_index,question,question_count,recommended_action,section,severity,source_file,source_status,split_status
No.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,3,Is the light source moving?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,4,Does the light color change?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,5,Is there a flickering of the light?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,6,Are there shadows moving across the table?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,7,Does any external light like a car's headlight pass by?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Yes.,8,"The video transitions from total darkness to a well-lit indoor environment. The light levels remain consistent once the lights are turned on, with no significant changes in intensity or direction. The metallic objects maintain their bright reflections throughout the well-lit portion of the sequence.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,8,Is the final frame well-lit?,8,split,light_change,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
6.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,How many sugarcane stalks are visible?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,2,How many teacups are on the table?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,3,How many clay teapots are there?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,4,How many silver kettles do I see?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,5,How many glass jars are present?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,6,How many red baskets are in the background?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,7,How many large pots with glass lids are there?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,8,How many handles does the silver kettle have?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,9,How many tea tray units are on the table?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
1.,10,"I can identify several objects: about 6 sugarcane stalks on the left, 1 patterned teacup, 1 small clay teapot, 1 silver kettle, 1 large stainless steel pot, 1 glass jar, and 1 red woven basket. There is also 1 electric tea tray unit.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,10,How many striped towels are used to hold objects?,10,split,counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,How many hands enter the frame to interact with the tea set?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,2,Does any other person appear in the video?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,3,Do any animals move across the scene?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,4,Does the teapot move by itself?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,5,Are there any flying insects?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,6,Does the red basket move?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
No.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,7,Is there more than one person visible?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Multiple times.,8,"The main moving element is the subject's right hand, which enters the frame to handle the silver kettle starting from frame 000420. The hand moves the kettle and then retreats several times. No other dynamic objects or humans are present in the scene.","['multi_question', 'frame_reference']",rgb,aligned_dataset/brew_tea_split/Seg1/rgb,8,How many times does the hand enter the frame?,8,split,dynamic_counting,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
They are lying on a towel on the tea table.,1,"The layout is standard for a tea ceremony area, though having raw sugarcane stalks lying on a towel right next to a formal tea set is a bit unusual for typical interior design. There are no unrealistic physical law violations or mesh clipping observed in the footage.",[],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,What is slightly unusual about the placement of the sugarcane stalks?,1,keep,non_common,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
Left.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,Which direction are the sugarcane stalks relative to me?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
One.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,2,How many steps am I from the table?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
The tea tray.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,3,What is directly in front of me?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
To the right of the clay teapot.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,4,Where is the silver kettle?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A large pot.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,5,What is behind the kettle?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Move left across the tray.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,6,How do I reach the cup from the kettle?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Sugarcane.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,7,What is on the far left?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
A red basket.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,8,What is behind the tray?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Forward.,10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,9,What direction do I move to see the basket better?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
"To the right, behind the kettle.",10,"I am standing at the tea table. To reach the rest of the room, I would need to turn around or step back. The table is oriented horizontally in front of me. To my left are the sugarcane stalks, and to my right is the electric kettle. The red basket is directly in front of me behind the tray.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,10,Where is the glass lid pot?,10,split,navigation,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
Around frame 420.,1,"The right hand appears at frame 000420 and starts moving the silver kettle. It stops moving the kettle around frame 000570, then reappears to adjust it again later. No other dynamic changes occur.",[],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,When does the hand first start interacting with the kettle?,1,keep,dynamic_recognition,pass,qa_pairs/aligned/rgb_qa_results_aligned.json,single,single
Moving it.,8,"I am preparing tea on an induction tea tray. My hand reaches out to move the silver kettle, likely to check the water level or temperature. The digital display shows the temperature is around boiling point (100 degrees Celsius). This interaction is part of the tea-making process, ensuring the water is ready for brewing.",['multi_question'],rgb,aligned_dataset/brew_tea_split/Seg1/rgb,1,What am I doing with my hand?,8,split,action,needs_transform,qa_pairs/aligned/rgb_qa_results_aligned.json,split_from_numbered_list,aligned
