anls,answer_length_chars,baseline_gpu_gb,benchmark_type,boolean_accuracy,character_f1,conciseness_violation,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,2,8.428,shared_balanced_frame_count_smoke_v1,0.0,0.0,False,Yes.,1.653,frame,contradiction,incorrect,gemini-2.5-flash,Candidate contradicts the reference.,0.0,0.7107,rgb,No,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.081,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__08,Is the final frame well-lit?,,3272de76bb04f8ba4c96958c,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,5,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,6.,1.655,frame,wrong_count,incorrect,gemini-2.5-flash,Candidate provides an incorrect count.,0.0,0.7025,rgb,three,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__01,How many sugarcane stalks are visible?,,b9ae19005c110e800bcf9e24,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.655,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7,rgb,one,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__02,How many teacups are on the table?,,d80039c4d0272155ca962f96,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,1.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.653,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7055,rgb,one,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.081,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__03,How many clay teapots are there?,,13b0adda65c289ba91b8061b,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,1.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.655,frame,wrong_count,incorrect,gemini-2.5-flash,Candidate provides an incorrect count.,0.0,0.8272,rgb,two,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__04,How many silver kettles do I see?,,b7ac21da676cb489c89b7207,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.651,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7063,rgb,One,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.078,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__05,How many glass jars are present?,,5f6c7125c537086d4d4c4ee5,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,1.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.653,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7095,rgb,one,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.081,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__06,How many red baskets are in the background?,,c2000dcfcb3e24b8db7153b2,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,1.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.655,frame,wrong_count,incorrect,gemini-2.5-flash,Candidate provides an incorrect count.,0.0,0.7029,rgb,two,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__07,How many large pots with glass lids are there?,,bb6ed02aff197adae1b1c853,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,,0.0,False,1.,1.655,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7015,rgb,One,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__09,How many tea tray units are on the table?,,fda874239b7077c869fe00f0,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,1.0,0.0,0.0,0.0
1.0,3,8.428,shared_balanced_frame_count_smoke_v1,,1.0,False,One.,1.661,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.7083,rgb,One,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,10.089,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__dynamic_counting__01,How many hands enter the frame to interact with the tea set?,,161d9808c2b44ab6b5d08211,False,0.0,1.0,dynamic_counting,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,numeric_accuracy,Counting question.,1.0,1.0,1.0,1.0
0.0,3,8.428,shared_balanced_frame_count_smoke_v1,0.0,0.0,False,No.,1.656,frame,contradiction,incorrect,gemini-2.5-flash,Candidate contradicts the reference.,0.0,0.7071,rgb,Yes,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.084,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__dynamic_counting__02,Does any other person appear in the video?,,b479e78d155808db110eca28,False,0.0,0.0,dynamic_counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
1.0,2,8.428,shared_balanced_frame_count_smoke_v1,1.0,1.0,False,No.,1.655,frame,none,correct,gemini-2.5-flash,Matches the reference.,1.0,0.701,rgb,No,internvl:InternVL3-8B:frame:064c18f7,models/internvl/InternVL3-8B,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,10.082,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__dynamic_counting__03,Do any animals move across the scene?,,2b404b3a8924be10121453be,False,0.0,1.0,dynamic_counting,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3-8B.json,answered,boolean_accuracy,Ground truth is a boolean answer.,1.0,1.0,1.0,1.0
