source_qa_id,question,source_modality,source_section,ground_truth_answer,rgb_score,rgb_rank,ir_score,ir_rank,event_score,event_rank,depth_score,depth_rank
depth__check_mailbox_split_seg3_check_mailbox__depth_scene_sequence__01,What structure do I pass immediately before entering the open area where cars are parked?,depth,depth_scene_sequence,The stairwell and balcony.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg3_check_mailbox__depth_spatial_reasoning__01,Is the staircase located closer to me than the balcony railing?,depth,depth_spatial_reasoning,"No, it is farther.",0.4,1,0.4,1,0.4,1,0.4,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__01,What is my primary action during the video?,depth,depth_action,Walking forward.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__02,Which object do I interact with at the end?,depth,depth_action,Mailboxes.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__03,Do I use my hand to reach for the mailboxes?,depth,depth_action,Yes.,1.0,1,1.0,1,0.0,2,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__04,Am I climbing the stairs?,depth,depth_action,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__05,Do I walk through any doors?,depth,depth_action,Yes.,1.0,1,1.0,1,1.0,1,0.0,2
depth__check_mailbox_split_seg4_check_mailbox__depth_action__06,Do I stop to look at the outdoor bushes?,depth,depth_action,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__07,What is the spatial result of my final hand movement?,depth,depth_action,Reaching the mailboxes.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_action__08,Do I turn around and go back?,depth,depth_action,No.,1.0,1,1.0,1,0.0,2,0.0,2
depth__check_mailbox_split_seg4_check_mailbox__depth_counting__01,How many people are walking in the distance?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_counting__02,How many staircases are visible?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_counting__05,How many distinct outdoor garden areas do I visit?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_counting__06,How many times do I pass through a doorway transition?,depth,depth_counting,Two.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_counting__07,How many human figures appear in the building hallways?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_counting__01,How many people approach me from the front?,depth,depth_dynamic_counting,Zero.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_counting__02,How many people do I see walking away?,depth,depth_dynamic_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_counting__03,How many vehicles are moving in the scene?,depth,depth_dynamic_counting,Zero.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_counting__05,How many moving objects pass me on the left?,depth,depth_dynamic_counting,Zero.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_counting__06,How many dynamic entities appear in the outdoor section?,depth,depth_dynamic_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_counting__08,How many human figures are seen throughout the entire sequence?,depth,depth_dynamic_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_recognition__01,Is the person in the distance moving toward me?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_recognition__02,Does the person vanish behind a wall?,depth,depth_dynamic_recognition,Yes.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_recognition__03,At what frame does the person first appear in the distance?,depth,depth_dynamic_recognition,Frame 300.,0.5,1,0.5,1,0.4,2,0.3333333333333333,3
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_recognition__04,Is there a car moving in the background?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_recognition__05,Does the human figure enter a doorway?,depth,depth_dynamic_recognition,Yes.,1.0,1,1.0,1,1.0,1,0.0,2
depth__check_mailbox_split_seg4_check_mailbox__depth_dynamic_recognition__06,Is the dynamic object a person?,depth,depth_dynamic_recognition,Yes.,0.0,2,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_navigation__01,What landmark is visible on the right side of the hallway as I approach the end of my path?,depth,depth_navigation,A staircase.,1.0,1,1.0,1,0.0,2,0.0,2
depth__check_mailbox_split_seg4_check_mailbox__depth_non_common__01,"Are there any physically impossible occurrences, like floating objects, in the depth stream?",depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_object_recognition__01,What is the 3D shape of the mailbox slots seen at the end of the video?,depth,depth_object_recognition,Rectangular.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_scene_sequence__01,Where am I between passing through the first and second doorway?,depth,depth_scene_sequence,Outdoors.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg4_check_mailbox__depth_spatial_reasoning__01,"As I walk toward the mailboxes, is the staircase on my left or my right?",depth,depth_spatial_reasoning,Right.,1.0,1,1.0,1,0.0,2,1.0,1
depth__check_mailbox_split_seg5_check_mailbox__depth_action__01,Am I descending or ascending the stairs?,depth,depth_action,I am descending.,0.5,1,0.5,1,0.5,1,0.5,1
depth__check_mailbox_split_seg5_check_mailbox__depth_counting__01,How many distinct depth layers can I observe in the scene?,depth,depth_counting,Five depth layers.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg5_check_mailbox__depth_dynamic_counting__01,How many dynamic entities move through the scene?,depth,depth_dynamic_counting,Zero.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg5_check_mailbox__depth_dynamic_recognition__01,Is there any object moving toward me?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg5_check_mailbox__depth_navigation__01,Is the path I am following a direct descent?,depth,depth_navigation,"Yes, it is a direct descent.",0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg5_check_mailbox__depth_non_common__01,Are there any floating objects in the scene?,depth,depth_non_common,"No, there are no floating objects.",0.2857142857142857,1,0.2857142857142857,1,0.2857142857142857,1,0.2857142857142857,1
depth__check_mailbox_split_seg5_check_mailbox__depth_object_recognition__01,Are the stairs located closer or further away from me than the balcony railing?,depth,depth_object_recognition,The stairs are further away.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg5_check_mailbox__depth_scene_sequence__01,Do I walk down the stairs to reach the lower level of the balcony?,depth,depth_scene_sequence,"Yes, I move down the stairs.",0.33333333333333337,1,0.33333333333333337,1,0.33333333333333337,1,0.0,2
depth__check_mailbox_split_seg5_check_mailbox__depth_spatial_reasoning__01,Is the railing positioned between me and the stairs?,depth,depth_spatial_reasoning,"Yes, the railing is between me and the stairs.",0.25,1,0.25,1,0.0,2,0.0,2
depth__check_mailbox_split_seg6_check_mailbox__depth_non_common__01,Do any chairs or tables appear to be floating above the floor in the depth frames?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__check_mailbox_split_seg6_check_mailbox__depth_object_recognition__01,What is the primary furniture object visible in the room after I pass the first landing?,depth,depth_object_recognition,A table.,0.0,1,0.0,1,0.0,1,0.0,1
depth__check_mailbox_split_seg6_check_mailbox__depth_scene_sequence__01,What is the sequence of spaces I move through from the start to the end of the video?,depth,depth_scene_sequence,"Landing, room, closet, stairs, corridor.",0.20000000000000004,2,0.16666666666666666,3,0.22222222222222224,1,0.20000000000000004,2
depth__check_mailbox_split_seg6_check_mailbox__depth_spatial_reasoning__01,Are the chairs located in front of or behind the table from my perspective when I enter the room?,depth,depth_spatial_reasoning,Behind.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_action__01,What is the main action the subject is performing?,depth,depth_action,Peeling a vegetable.,0.5,1,0.5,1,0.0,2,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_action__02,With which object is the subject interacting to prepare the food?,depth,depth_action,A round vegetable.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_action__03,Does the subject move the object while working?,depth,depth_action,Yes.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_action__04,Is the subject using a tool to manipulate the object?,depth,depth_action,Yes.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_action__06,Are the subject's hands actively moving?,depth,depth_action,Yes.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_action__07,What is the spatial relationship between the subject's hands and the cutting board?,depth,depth_action,The hands are hovering over the board.,0.5454545454545454,2,0.5454545454545454,2,0.4615384615384615,3,0.6,1
depth__cut_carrot_split_seg1_cut_carrot__depth_action__08,Does the subject's action change during the sequence?,depth,depth_action,No.,1.0,1,0.0,2,0.0,2,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_counting__04,Are there more than two tools present on the table?,depth,depth_counting,Yes.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_counting__08,Are there any objects besides the board and tools visible?,depth,depth_counting,"Yes, one.",0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_dynamic_counting__05,Are there any objects that move between the foreground and background?,depth,depth_dynamic_counting,No.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_dynamic_counting__06,How many objects are manipulated by the hands?,depth,depth_dynamic_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_dynamic_counting__08,Does the number of moving objects increase over the sequence?,depth,depth_dynamic_counting,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_dynamic_recognition__01,Is the round object moving towards me during the sequence?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,0.0,2,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_dynamic_recognition__03,Does the object vanish from the field of view?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_dynamic_recognition__07,Is the hand moving away from the workspace?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_navigation__01,Is the area shown in the video a walkable path or a static workspace?,depth,depth_navigation,Static workspace.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg1_cut_carrot__depth_non_common__01,Are there any floating objects or depth artifacts indicating impossible physical geometry in the scene?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_scene_sequence__01,Does the camera move between different rooms or spaces during the sequence?,depth,depth_scene_sequence,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg1_cut_carrot__depth_spatial_reasoning__01,Is the knife in front of or behind the vegetable peeler on the cutting board?,depth,depth_spatial_reasoning,Behind.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg2_cut_carrot__depth_action__01,What am I doing with the small tool at the start?,depth,depth_action,Peeling.,0.6666666666666666,1,0.0,2,0.0,2,0.0,2
depth__cut_carrot_split_seg2_cut_carrot__depth_action__02,Which object am I interacting with using the knife?,depth,depth_action,Long vegetable.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_action__03,What is the spatial consequence of the downward knife motion?,depth,depth_action,Creating a slice.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_action__04,Am I using my left hand to hold the vegetable steady?,depth,depth_action,Yes.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg2_cut_carrot__depth_action__05,What action do I perform before starting to slice?,depth,depth_action,Peeling.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_action__07,Am I putting the slices into the bowl?,depth,depth_action,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_action__08,What is the right hand doing at the end of the video?,depth,depth_action,Retracting.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_counting__01,How many knives are being used at once?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_counting__02,How many hands are visible in the close-range workspace?,depth,depth_counting,Two.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_counting__03,How many cutting boards are laid out?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_counting__06,How many background spheres are on the string?,depth,depth_counting,Four.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_counting__07,How many tools (knife and peeler) are used in total?,depth,depth_counting,Two.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_counting__08,How many primary workspaces are defined by boards?,depth,depth_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_counting__01,How many hands are actively moving in the workspace?,depth,depth_dynamic_counting,Two.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_counting__05,How many peelers are seen moving in the first half?,depth,depth_dynamic_counting,One.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_counting__06,How many slices are seen falling away from the vegetable?,depth,depth_dynamic_counting,Several.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_counting__08,How many times is a tool swapped in the sequence?,depth,depth_dynamic_counting,Once.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_recognition__01,Is my right hand moving toward the cutting board to slice?,depth,depth_dynamic_recognition,Yes.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_recognition__02,When does the knife first appear in the right hand?,depth,depth_dynamic_recognition,Around frame 240.,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.28571428571428575,2
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_recognition__03,Does the vegetable move closer to me during the video?,depth,depth_dynamic_recognition,No.,1.0,1,0.0,2,0.0,2,0.0,2
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_recognition__04,Do the slices move once they are on the board?,depth,depth_dynamic_recognition,No.,0.0,2,0.0,2,1.0,1,1.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_recognition__07,When do the individual slices start appearing as distinct volumes?,depth,depth_dynamic_recognition,Around frame 360.,0.4,1,0.4,1,0.3333333333333333,2,0.28571428571428575,3
depth__cut_carrot_split_seg2_cut_carrot__depth_dynamic_recognition__08,Does any background object move toward the camera?,depth,depth_dynamic_recognition,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_navigation__01,Is there a clear path for large-scale forward movement in this 3D scene?,depth,depth_navigation,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_non_common__01,Are there any objects appearing to float or pass through each other unnaturally?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg2_cut_carrot__depth_object_recognition__01,"What is the relative depth order of my hands, the cutting board, and the background spheres?",depth,depth_object_recognition,"Hands, board, spheres.",0.7499999999999999,1,0.7499999999999999,1,0.7499999999999999,1,0.7499999999999999,1
depth__cut_carrot_split_seg2_cut_carrot__depth_scene_sequence__01,How does the 3D structure on the cutting board change from the start to the end of the video?,depth,depth_scene_sequence,From one object to multiple.,0.4,1,0.3,2,0.23076923076923073,3,0.06666666666666667,4
depth__cut_carrot_split_seg2_cut_carrot__depth_spatial_reasoning__01,Where is the circular bowl located relative to the cutting board?,depth,depth_spatial_reasoning,Beside it to the right.,0.4444444444444445,1,0.4,2,0.4444444444444445,1,0.0,3
depth__cut_carrot_split_seg3_cut_carrot__depth_navigation__01,Is there a navigable corridor visible in the scene?,depth,depth_navigation,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg3_cut_carrot__depth_non_common__01,Are there any physically implausible objects like floating items in the scene?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg3_cut_carrot__depth_object_recognition__01,Which object is closest to me in this scene?,depth,depth_object_recognition,The kitchen knife.,0.6666666666666666,1,0.6666666666666666,1,0.0,2,0.0,2
depth__cut_carrot_split_seg3_cut_carrot__depth_scene_sequence__01,Does the camera move to a different room during the video?,depth,depth_scene_sequence,"No, it remains static.",0.4,1,0.4,1,0.4,1,0.4,1
depth__cut_carrot_split_seg3_cut_carrot__depth_spatial_reasoning__01,Is the bowl closer or farther than the cutting board?,depth,depth_spatial_reasoning,Farther.,1.0,1,1.0,1,1.0,1,0.0,2
depth__cut_carrot_split_seg4_cut_carrot__depth_action__01,What am I doing with the knife initially?,depth,depth_action,Slicing vegetables.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg4_cut_carrot__depth_counting__01,How many cutting boards are visible?,depth,depth_counting,1,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg4_cut_carrot__depth_dynamic_counting__01,How many knives are used to cut?,depth,depth_dynamic_counting,1,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg4_cut_carrot__depth_dynamic_recognition__01,Is the knife moving back and forth?,depth,depth_dynamic_recognition,Yes.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg4_cut_carrot__depth_navigation__01,In which direction is the bowl relative to the cutting board?,depth,depth_navigation,Top right.,0.6666666666666666,1,0.6666666666666666,1,0.0,2,0.6666666666666666,1
depth__cut_carrot_split_seg4_cut_carrot__depth_non_common__01,Are there any objects floating in mid-air without support?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_carrot_split_seg4_cut_carrot__depth_object_recognition__01,What is the shape of the container located in the top right of my view?,depth,depth_object_recognition,Circular.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_carrot_split_seg4_cut_carrot__depth_scene_sequence__01,What action marks the transition in the scene layout halfway through?,depth,depth_scene_sequence,Lifting the board.,0.0,2,0.0,2,0.25,1,0.0,2
depth__cut_carrot_split_seg4_cut_carrot__depth_spatial_reasoning__01,"Between the knife and the cutting board, which is closer to me?",depth,depth_spatial_reasoning,Knife.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_dynamic_counting__01,8. How many dynamic entities are present in the final close-up of the wall?,depth,depth_dynamic_counting,8. 0,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_dynamic_recognition__01,8. Does my hand reappear at a close distance later in the kitchen sequence?,depth,depth_dynamic_recognition,"8. Yes, around frame 000570",0.0,2,0.33333333333333337,1,0.33333333333333337,1,0.0,2
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_navigation__01,What major horizontal structure defines the navigable path as I move through the kitchen?,depth,depth_navigation,The kitchen countertop.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_non_common__01,What unusual visual artifact occurs in the depth map when the camera is extremely close to the wall at the end?,depth,depth_non_common,Heavy depth noise.,0.09523809523809525,3,0.18181818181818182,1,0.15384615384615383,2,0.08,4
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_object_recognition__01,What large furniture object is positioned at a mid-range distance of approximately 2 to 3 meters at the start of the video?,depth,depth_object_recognition,A sofa.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_scene_sequence__01,Into which room does the camera move after leaving the initial living area?,depth,depth_scene_sequence,The kitchen.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_potato_and_carrot_split_seg1_cut_potato_and_carrot__depth_spatial_reasoning__01,"When my hand appears in the kitchen area, what is its spatial relationship to the countertop and appliances?",depth,depth_spatial_reasoning,In front of them.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_action__01,What is the subject doing in the scene?,depth,depth_action,"Observing, no action performed.",0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_counting__01,How many distinct bottles are visible on the counter?,depth,depth_counting,Two.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_dynamic_counting__01,How many moving objects are present in the video?,depth,depth_dynamic_counting,None.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_dynamic_recognition__01,Do any objects change their depth position during the recording?,depth,depth_dynamic_recognition,No.,0.0,2,0.0,2,0.0,2,1.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_navigation__01,"Is there a clear, navigable path leading forward in this scene?",depth,depth_navigation,"No, it is a static workspace.",0.33333333333333337,1,0.33333333333333337,1,0.33333333333333337,1,0.33333333333333337,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_non_common__01,Are there any floating objects or depth artifacts visible in the scene?,depth,depth_non_common,No.,1.0,1,1.0,1,1.0,1,1.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_object_recognition__01,Which objects in the scene are positioned closest to me?,depth,depth_object_recognition,The bottles.,0.0,1,0.0,1,0.0,1,0.0,1
depth__cut_potato_and_carrot_split_seg2_cut_potato_and_carrot__depth_scene_sequence__01,Does the camera move into any other rooms during the video?,depth,depth_scene_sequence,No.,1.0,1,1.0,1,1.0,1,1.0,1
