input,size,model_family,model,modality,section,section_raw,total,answered,answer_rate,judge_evaluated,task_aware_score,token_f1,bleu_4,rouge_l_f1,meteor,judge_strict_accuracy,judge_soft_accuracy
video,8B,InternVL3.5,InternVL3_5-8B-Instruct,event,ALL,ALL,822,822,1.0,822,0.41903418965462763,0.2932548390169046,0.6715330554767449,0.2932548390169046,0.1541737816114418,0.4732360097323601,0.4981751824817518
video,8B,InternVL3.5,InternVL3_5-8B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.40662030580579445,0.27665121390354075,0.433978076416897,0.27557375466448786,0.1381215741931904,0.521460602178091,0.5416399743754003
video,8B,InternVL3.5,InternVL3_5-8B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2315,0.3852877448462036,0.2385071546508023,0.37651193196180516,0.23773383077453128,0.11705133995968799,0.4924406047516199,0.5200863930885529
video,8B,Molmo2,Molmo2-8B,depth,ALL,ALL,764,764,1.0,764,0.41223639614725316,0.2975134515897475,0.5561386925750451,0.2971666488869239,0.14748427060083996,0.43848167539267013,0.4456806282722513
video,8B,Molmo2,Molmo2-8B,event,ALL,ALL,822,822,1.0,822,0.40546488520941076,0.28618900989124263,0.6393299442779488,0.28496671200084683,0.15792343490399866,0.4562043795620438,0.4750608272506083
video,8B,Molmo2,Molmo2-8B,ir,ALL,ALL,1561,1561,1.0,1560,0.36741531523022497,0.2510592402275644,0.4259540422125241,0.2496385702436992,0.1262672325341444,0.48653846153846153,0.5041666666666667
video,8B,Molmo2,Molmo2-8B,rgb,ALL,ALL,2318,2318,1.0,2318,0.36897059956217615,0.23179693038155363,0.365139865150335,0.23019860635145709,0.12000120952561084,0.48058671268334774,0.5043140638481449
video,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,depth,ALL,ALL,764,764,1.0,764,0.4046590241173892,0.29740350256284864,0.5409037215702516,0.29714098296631536,0.1456215801387128,0.44502617801047123,0.4548429319371728
video,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,event,ALL,ALL,822,822,1.0,822,0.4545558928770607,0.33730670110577693,0.6757574689421018,0.33663553855564093,0.17441900182141934,0.524330900243309,0.5444038929440389
video,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,ir,ALL,ALL,1561,1561,1.0,1561,0.4261219893214638,0.3151525597892651,0.44009947417531164,0.3134037946874434,0.16236166424524928,0.5566944266495836,0.5861627162075592
video,8B,Qwen3-VL,Qwen3-VL-8B-Instruct,rgb,ALL,ALL,2318,2318,1.0,2318,0.42639556395137135,0.27475824129751314,0.38191511228473185,0.27303296980846903,0.13646560252097728,0.5703192407247627,0.5951251078515962
