sample_key,status,row_index,section,primary_section,sections,category,qa_source,qa_index,source_modality,annotation_key,fusion_score,support_score,lexical_support_score,semantic_support_score,semantic_support_raw_cosine,supporting_modality_count,supporting_modalities,modality_reliability,modality_weight_profile,requires_lexical_support,is_outlier,selection_reason,reliability_gate,review_recommended,review_priority,review_reasons,support_level,best_support_modality,best_support_score,best_match_modality,best_match_category,question,answer
cut_carrot,selected,27,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,10,rgb,navigation,2.483,0.444,0.3,0.66,0.73,2,event;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,moderate,event,0.402,event,event_navigation,How do I reach the laptop from the cutting board?,Move your hand to the left
cut_carrot,selected,28,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,4,rgb,light_change,2.482,0.527,0.231,0.769,0.785,1,ir,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,ir,0.527,ir,light_recongnition,Does the laptop screen provide a significant change in light?,No
cut_carrot,selected,29,counting,counting,counting,counting,original_modality,10,rgb,counting,2.478,0.44,0.25,0.884,0.842,3,audio;event;ir,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,moderate,ir,0.387,event,event_action,How many tools total are used for the carrot preparation?,Two (peeler and knife)
cut_carrot,selected,30,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,2,rgb,light_change,2.47,0.516,0.1,0.857,0.829,2,depth;ir,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,ir,0.516,ir,light_change,Is the scene getting darker as I work?,No
cut_carrot,selected,31,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,3,rgb,light_change,2.463,0.51,0.286,0.694,0.747,3,depth;event;ir,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,depth,0.481,depth,depth_dynamic_recognition,Does the light source move?,No
cut_carrot,selected,32,motion_and_action,motion_and_action,motion_and_action,action,original_modality,4,rgb,action,2.456,0.672,0.25,0.899,0.85,3,audio;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.655,ir,action,What happens to the carrot after it is peeled?,It is sliced into strips
cut_carrot,selected,33,motion_and_action,motion_and_action,motion_and_action,action,original_modality,3,rgb,action,2.456,0.672,0.182,0.936,0.868,3,audio;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.672,ir,action,Why am I holding the carrot over the bowl?,To catch the peels
cut_carrot,selected,34,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,6,rgb,light_change,2.455,0.504,0.111,0.826,0.813,2,depth;ir,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,strong,ir,0.504,ir,light_change,Is it getting brighter towards the end?,No
cut_carrot,selected,35,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,2,rgb,dynamic_counting,2.449,0.666,0.429,0.956,0.878,3,depth;event;ir,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.666,event,event_counting,How many knives are used for slicing?,One
cut_carrot,selected,36,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,,ir,dynamic_counting,2.438,0.657,0.5,0.848,0.824,3,depth;event;rgb,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.618,rgb,counting,How many hands enter the frame to pick up the tools?,Two.
cut_carrot,selected,37,counting,counting,counting,depth_counting,original_modality,4,depth,depth_counting,2.436,0.466,0.429,0.553,0.676,1,rgb,0.879,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.436,rgb,dynamic_counting,How many main paths are being followed?,One
cut_carrot,selected,38,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,1,rgb,scene_sequence,2.433,0.653,0.333,0.865,0.833,3,audio;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.653,event,event_action,What is the first tool I pick up?,The peeler
cut_carrot,selected,39,spatial_and_layout,spatial_and_layout,spatial_and_layout,spatial_reasoning,original_modality,,rgb,spatial_reasoning,2.432,0.485,0.3,0.763,0.782,2,event;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,ir,0.485,ir,spatial_reasoning,Where is the white bowl located in relation to the cutting board?,To the right.
cut_carrot,selected,40,counting,counting,counting,counting,original_modality,4,rgb,counting,2.425,0.396,0.333,0.542,0.671,2,depth;event,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,moderate,depth,0.391,event,event_counting,How many white bowls are used?,One
cut_carrot,selected,41,motion_and_action,motion_and_action,motion_and_action,action,original_modality,2,rgb,action,2.408,0.632,0.273,0.825,0.812,3,audio;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.606,event,event_action,What is the purpose of the knife?,To slice the carrot
cut_carrot,selected,42,counting,counting,counting,depth_counting,original_modality,7,depth,depth_counting,2.385,0.423,0.333,0.632,0.716,3,event;ir;rgb,0.879,visual_count,True,False,passed_support_required_gate,support_required,False,none,,moderate,rgb,0.392,rgb,counting,How many poles are in the immediate foreground at the start?,Two
cut_carrot,selected,43,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,4,rgb,navigation,2.385,0.362,0.167,0.656,0.728,1,ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,moderate,ir,0.305,ir,navigation,"To clear the board, where do I move the cut strips?",Towards the top of the board
cut_carrot,selected,44,counting,counting,counting,depth_counting,original_modality,3,depth,depth_counting,2.38,0.419,0.333,0.618,0.709,2,event;rgb,0.879,visual_count,True,False,passed_support_required_gate,support_required,False,none,,moderate,rgb,0.419,rgb,counting,How many flat ground planes are visible?,One
cut_carrot,selected,45,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,navigation,original_modality,7,rgb,navigation,2.375,0.354,0.133,0.686,0.743,2,audio;ir,1.0,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,moderate,ir,0.321,ir,spatial_reasoning,Which way do I move the knife to slice?,Downwards
cut_carrot,selected,46,counting,counting,counting,depth_counting,original_modality,1,depth,depth_counting,2.372,0.412,0.333,0.595,0.697,2,event;rgb,0.879,visual_count,True,False,passed_support_required_gate,support_required,False,none,,moderate,rgb,0.393,rgb,dynamic_counting,How many distinct vertical poles can be counted on the left?,Five
cut_carrot,selected,47,counting,counting,counting,event_counting,original_modality,,event,event_counting,2.363,0.72,0.6,1.0,0.9,3,depth;ir;rgb,0.915,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.72,rgb,counting,How many knives are on the cutting board?,One.
cut_carrot,selected,48,motion_and_action,motion_and_action,motion_and_action,action,original_modality,7,rgb,action,2.355,0.587,0.2,0.796,0.798,3,audio;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.571,ir,action,What is the intended consequence of the cutting?,Creating thin carrot strips for cooking
cut_carrot,selected,49,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,3,rgb,dynamic_counting,2.346,0.58,0.429,0.764,0.782,4,audio;depth;event;ir,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,depth,0.44,ir,action,How many carrots are being processed?,One
cut_carrot,selected,50,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,4,rgb,scene_sequence,2.343,0.577,0.25,0.795,0.798,3,audio;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.577,event,event_action,What tool is used after the peeler is put down?,A chef's knife
cut_carrot,selected,51,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,10,rgb,scene_sequence,2.338,0.573,0.214,0.813,0.806,3,audio;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.573,ir,action,What did I do immediately after finishing peeling?,Set down the peeler and picked up the knife
cut_carrot,selected,52,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,5,rgb,light_change,2.336,0.405,0.2,0.573,0.687,1,ir,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,ir,0.405,ir,light_recongnition,Is there a flickering of the overhead light?,No
cut_carrot,selected,53,counting,counting,counting,depth_counting,original_modality,5,depth,depth_counting,2.331,0.378,0.286,0.593,0.697,1,rgb,0.879,visual_count,True,False,passed_support_required_gate,support_required,False,none,,moderate,rgb,0.356,rgb,light_change,How many distinct depth layers are in the far background?,Three
cut_carrot,selected,54,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,6,rgb,scene_sequence,2.315,0.554,0.25,0.757,0.779,4,audio;depth;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.554,event,event_scene_sequence,What is the sequence of tasks performed?,"Peeling, then slicing"
cut_carrot,selected,55,motion_and_action,motion_and_action,motion_and_action,action,original_modality,6,rgb,action,2.315,0.554,0.25,0.717,0.759,4,audio;depth;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.554,event,event_counting,Am I using a cutting board?,Yes
cut_carrot,selected,56,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,2,rgb,scene_sequence,2.308,0.548,0.231,0.76,0.78,3,audio;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.538,event,event_object_recognition,What object is used to collect the carrot skin?,A white bowl
cut_carrot,selected,57,counting,counting,counting,counting,original_modality,,ir,counting,2.302,0.46,0.286,0.867,0.834,3,depth;event;rgb,1.0,visual_count,True,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.435,rgb,counting,How many electronic devices are visible on the counter?,One laptop.
cut_carrot,selected,58,motion_and_action,motion_and_action,motion_and_action,action,original_modality,8,rgb,action,2.298,0.54,0.167,0.741,0.771,3,depth;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,depth,0.482,depth,depth_dynamic_recognition,Are my hands moving quickly or carefully?,Carefully
cut_carrot,selected,59,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,depth_navigation,original_modality,,depth,depth_navigation,2.284,0.339,0.2,0.548,0.674,1,rgb,0.879,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,moderate,rgb,0.339,rgb,navigation,In which direction does the safe navigable path extend?,Straight forward.
cut_carrot,selected,60,motion_and_action,motion_and_action,motion_and_action,dynamic_recognition,original_modality,,rgb,dynamic_recognition,2.264,0.595,0.182,0.817,0.809,4,audio;depth;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,audio,0.56,audio,audio_hia,When do I begin the action of slicing the carrot segments with the knife?,At frame 003270.
cut_carrot,selected,61,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,1,rgb,light_change,2.261,0.343,0.222,0.442,0.621,1,depth,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,depth,0.342,ir,light_recongnition,Did the kitchen lights turn off at any point?,No
cut_carrot,selected,62,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,1,rgb,dynamic_counting,2.256,0.505,0.333,0.714,0.757,3,depth;event;ir,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,depth,0.438,ir,action,How many peelers move during the peeling process?,One
cut_carrot,selected,63,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,8,rgb,scene_sequence,2.254,0.503,0.2,0.705,0.752,3,depth;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.452,event,event_counting,What is the last tool I am seen holding?,The knife
cut_carrot,selected,64,motion_and_action,motion_and_action,motion_and_action,action,original_modality,5,rgb,action,2.251,0.501,0.182,0.672,0.736,4,audio;depth;event;ir,1.0,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.484,ir,object_recognition,What kind of cut am I making with the knife?,Slicing/Julienning
cut_carrot,selected,65,scene_and_context,scene_and_context,scene_and_context,light_change,original_modality,7,rgb,light_change,2.241,0.326,0.1,0.51,0.655,1,depth,1.0,visual_light,False,False,passed_support_exempt_gate,support_exempt,False,none,,moderate,depth,0.315,ir,light_change,"Did any external light, like car headlights, pass through the scene?",No
cut_carrot,selected,66,spatial_and_layout,spatial_and_layout,spatial_and_layout,event_spatial_reasoning,original_modality,,event,event_spatial_reasoning,2.232,0.694,0.5,0.985,0.893,4,audio;depth;ir;rgb,0.915,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.694,rgb,navigation,Where is the peeler located relative to the carrot before I pick it up?,To its left.
cut_carrot,selected,67,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,7,rgb,dynamic_counting,2.214,0.47,0.273,0.712,0.756,3,depth;event;ir,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.47,event,event_counting,How many cutting boards are shifted during the action?,None (it remains stationary)
cut_carrot,selected,68,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,5,rgb,dynamic_counting,2.2,0.458,0.25,0.712,0.756,4,audio;depth;event;ir,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,depth,0.393,ir,action,How many bowls are used to catch the movement of the peels?,One
cut_carrot,selected,69,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,4,rgb,dynamic_counting,2.194,0.454,0.222,0.736,0.768,2,depth;event,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,depth,0.435,depth,depth_action,Do any objects other than the tools and food move?,No
cut_carrot,selected,70,motion_and_action,motion_and_action,motion_and_action;counting,dynamic_counting,original_modality,8,rgb,dynamic_counting,2.194,0.453,0.286,0.658,0.729,2,depth;event,1.0,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,depth,0.453,depth,depth_action,Do any new objects enter the scene while I am cutting?,No
cut_carrot,selected,71,objects_and_attributes,objects_and_attributes,objects_and_attributes,event_object_recognition,original_modality,,event,event_object_recognition,2.152,0.544,0.333,0.801,0.801,3,audio;ir;rgb,0.915,visual_object,False,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.51,ir,action,What object do I pick up first after my hand enters the scene?,The carrot.
cut_carrot,selected,72,temporal_sequence,temporal_sequence,temporal_sequence;motion_and_action,scene_sequence,original_modality,7,rgb,scene_sequence,2.141,0.409,0.143,0.587,0.694,3,depth;event;ir,1.0,temporal,False,False,passed_support_soft_gate,support_soft,False,none,,moderate,event,0.371,depth,depth_counting,Was the bowl empty or full at the start?,Empty
cut_carrot,selected,73,motion_and_action,motion_and_action,motion_and_action,depth_dynamic_recognition,original_modality,1,depth,depth_dynamic_recognition,2.135,0.632,0.429,0.741,0.771,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.546,rgb,action,Does any object move toward me?,"Yes, one later"
cut_carrot,selected,74,motion_and_action,motion_and_action,motion_and_action,depth_dynamic_recognition,original_modality,2,depth,depth_dynamic_recognition,2.088,0.592,0.333,0.732,0.766,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.592,event,event_dynamic_recognition,When did a small object appear in the distance?,Frame
cut_carrot,selected,75,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,4,depth,depth_action,2.083,0.588,0.167,0.815,0.808,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.53,ir,navigation,Am I turning left or right?,No
cut_carrot,selected,76,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,1,depth,depth_action,2.082,0.587,0.375,0.702,0.751,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.456,rgb,light_change,What am I doing in the scene?,Moving forward
cut_carrot,selected,77,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,2,depth,depth_action,2.072,0.579,0.286,0.736,0.768,2,event;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.527,rgb,dynamic_counting,Am I interacting with any objects?,No
cut_carrot,selected,78,motion_and_action,motion_and_action,motion_and_action,depth_dynamic_recognition,original_modality,8,depth,depth_dynamic_recognition,2.039,0.551,0.143,0.771,0.786,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,event,0.54,event,event_non_common,Is any moving object at a close range?,No
cut_carrot,selected,79,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,7,depth,depth_action,2.033,0.546,0.333,0.661,0.73,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,ir,0.454,ir,navigation,Which direction is my primary movement intent?,Forward
cut_carrot,selected,80,spatial_and_layout,spatial_and_layout,spatial_and_layout;motion_and_action,event_navigation,original_modality,,event,event_navigation,2.009,0.508,0.3,0.82,0.81,3,depth;ir;rgb,0.915,visual_spatial,True,False,passed_support_required_gate,support_required,False,none,,strong,rgb,0.508,rgb,navigation,In what direction does my hand move to reach the carrot?,Bottom to center.
cut_carrot,selected,81,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,5,depth,depth_action,1.982,0.504,0.25,0.641,0.72,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.417,rgb,light_change,Am I stopping at any point?,No
cut_carrot,selected,82,motion_and_action,motion_and_action,motion_and_action;counting,depth_dynamic_counting,original_modality,7,depth,depth_dynamic_counting,1.967,0.491,0.333,0.684,0.742,2,event;rgb,0.879,visual_motion,True,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.438,rgb,dynamic_counting,How many objects move between depth layers on the left?,Zero
cut_carrot,selected,83,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,6,depth,depth_action,1.965,0.489,0.143,0.676,0.738,1,rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.446,rgb,action,Is my speed changing significantly?,No
cut_carrot,selected,84,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,8,depth,depth_action,1.939,0.468,0.167,0.631,0.715,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.468,rgb,action,Am I moving through a doorway?,No
cut_carrot,selected,85,motion_and_action,motion_and_action,motion_and_action,depth_action,original_modality,3,depth,depth_action,1.933,0.463,0.222,0.592,0.696,3,event;ir;rgb,0.879,visual_motion,False,False,passed_support_soft_gate,support_soft,False,none,,strong,rgb,0.463,rgb,light_change,How does the distance to the poles change?,It decreases
