anls,answer_length_chars,baseline_gpu_gb,benchmark_type,bleu_4,boolean_accuracy,character_f1,conciseness_violation,frame_count,ground_truth_answer,incremental_peak_gpu_gb,input_type,judge_error_type,judge_label,judge_model,judge_reason,judge_score,latency_seconds,max_frames_per_item,meteor,modality,model_answer,model_key,model_name,normalized_exact_match,numeric_accuracy,pair_key,peak_gpu_gb,provider,qa_id,question,reason,record_id,repetition_flag,repetition_ratio,rouge_l_f1,section,sequence_order_score,set_f1,source_path,status,task_aware_metric,task_aware_reason,task_aware_score,token_f1,token_precision,token_recall
0.0,5,6.146,shared_balanced_frame_count_smoke_v1,0.6389431042462724,,0.0,False,8,98.,2.074,frame,other,incorrect,gemini-3.1-flash-lite,Wrong temperature.,0.0,1.2158,,0.0,rgb,156.0,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.22,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__06,What temperature is displayed in frame 000840?,,ac0203997d31c5a1467ef73e,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
0.0,12,6.146,shared_balanced_frame_count_smoke_v1,0.6389431042462724,,0.0,False,8,99.,2.068,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,"Correct value 99, but includes extra unit text.",0.5,1.2113,,0.0,rgb,100 degrees.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.214,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__07,What is the final temperature shown in the video?,,58e9ae7baba87d22d9b52a10,False,0.0,0.0,text_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,0.0,0.0,0.0,0.0
1.0,5,6.146,shared_balanced_frame_count_smoke_v1,1.0,,1.0,False,8,Gold.,2.068,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1357,,0.5,rgb,Gold.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.214,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__text_recognition__08,What color are the characters on the tea tray?,,8f4dfbe7e3e3f8e1b400d921,False,0.0,1.0,text_recognition,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,anls,Text-recognition answer.,1.0,1.0,1.0,1.0
0.0,3,6.146,shared_balanced_frame_count_smoke_v1,0.11380295453101374,,0.23529411764705882,False,8,A tea table setup.,2.068,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,"Misses the full scope of the setup, mentions only one item.",0.5,1.1116,,0.0,rgb,cup,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.214,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__01,What is the first thing I see after the darkness?,,aabca859807122fbd931d066,False,0.0,0.0,scene_sequence,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,sequence_order_score,Ordered or temporal answer.,0.0,0.0,0.0,0.0
0.0,6,6.146,shared_balanced_frame_count_smoke_v1,0.36787944117144233,,0.5714285714285715,False,8,The silver kettle.,2.063,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,"Correct item, missing descriptor.",0.5,1.1553,,0.2631578947368421,rgb,kettle,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.209,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__05,What did the hand interact with first?,,5d5fee875c0e198b9bc4e60c,False,0.0,0.6666666666666666,scene_sequence,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,sequence_order_score,Ordered or temporal answer.,0.0,0.6666666666666666,1.0,0.5
0.0,31,6.146,shared_balanced_frame_count_smoke_v1,0.22089591134157885,,0.4897959183673469,False,8,The tea table with all objects.,2.066,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,Mentions an action rather than the state of the objects/table.,0.5,1.34,,0.09803921568627451,rgb,Tea is being poured into a cup.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.213,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__06,What is the final scene shown in the video?,,addc3d87757b18f1679ce125,False,0.0,0.1818181818181818,scene_sequence,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,sequence_order_score,Ordered or temporal answer.,0.0,0.1818181818181818,0.16666666666666666,0.2
1.0,3,6.146,shared_balanced_frame_count_smoke_v1,1.0,1.0,1.0,False,8,No.,2.063,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1589,,0.5,rgb,No.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.209,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__07,Did the camera move between different rooms?,,746b42df02a40d835cd638b5,False,0.0,1.0,scene_sequence,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,1.0,1.0,1.0,1.0
1.0,4,6.146,shared_balanced_frame_count_smoke_v1,1.0,,1.0,False,8,Red.,2.068,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1395,,0.5,rgb,Red.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.214,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__scene_sequence__10,What is the color of the basket in the background?,,d75b710aec61104a234d3b5d,False,0.0,1.0,scene_sequence,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,sequence_order_score,Ordered or temporal answer.,1.0,1.0,1.0,1.0
0.0,14,6.146,shared_balanced_frame_count_smoke_v1,0.10283257773094409,,0.5238095238095238,False,8,On the metallic kettle and the pot lid.,2.069,frame,missing_detail,partially_correct,gemini-3.1-flash-lite,"Misses the metallic kettle, only mentions teapot.",0.5,1.2335,,0.08928571428571427,rgb,On the teapot.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.216,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_recognition__01,Where are the strongest light reflections visible in the scene?,,99f560b84ac89489f1d50a46,False,0.0,0.25,light_recognition,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,set_f1,Ground truth contains multiple concepts.,0.0,0.25,0.5,0.16666666666666666
0.0,3,6.146,shared_balanced_frame_count_smoke_v1,0.30934850332660563,,0.2222222222222222,False,8,Turn on.,2.068,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.1131,,0.0,rgb,off,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.214,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__01,Did the lights turn on or off at the beginning?,,0b9e320e83f39c8206f92ad4,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,token_f1,General open-ended short answer.,0.0,0.0,0.0,0.0
0.0,7,6.146,shared_balanced_frame_count_smoke_v1,0.04186576731652839,0.0,0.22222222222222224,False,8,"No, it remains consistent.",2.069,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.1807,,0.0,rgb,Darker.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.216,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__02,Is the light getting brighter or darker after the initial transition?,,b5cf61adca5ec525b9700a08,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
1.0,2,6.146,shared_balanced_frame_count_smoke_v1,1.0,1.0,1.0,False,8,No.,2.06,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1265,,0.5,rgb,No,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.206,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__03,Is the light source moving?,,ef69880fc0e794c27a6a0277,False,0.0,1.0,light_change,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,1.0,1.0,1.0,1.0
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,0.0,0.0,False,8,No.,2.06,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.1539,,0.0,rgb,Yes.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.206,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__04,Does the light color change?,,0d5a6673e520d9ddbc884ed4,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,0.0,0.0,False,8,No.,2.065,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.13,,0.0,rgb,Yes.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.211,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__05,Is there a flickering of the light?,,cd0519df92ee863b7caefa4c,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,0.0,0.0,False,8,No.,2.063,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.1542,,0.0,rgb,Yes.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.209,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__06,Are there shadows moving across the table?,,56d699b3bfd833de24a2a2f3,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,4,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,0.0,0.0,False,8,No.,2.071,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.1386,,0.0,rgb,Yes.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.217,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__07,Does any external light like a car's headlight pass by?,,4d74bd13092de0719e5bd87b,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,2,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,0.0,0.0,False,8,Yes.,2.063,frame,contradiction,incorrect,gemini-3.1-flash-lite,Contradicts ground truth.,0.0,1.127,,0.0,rgb,no,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,,aligned_dataset/brew_tea_split/Seg1/rgb,8.209,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__light_change__08,Is the final frame well-lit?,,446c12ef6c363247f1cda602,False,0.0,0.0,light_change,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,boolean_accuracy,Ground truth is a boolean answer.,0.0,0.0,0.0,0.0
0.0,2,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.0,False,8,6.,2.065,frame,wrong_count,incorrect,gemini-3.1-flash-lite,Wrong count.,0.0,1.1287,,0.0,rgb,10,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.211,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__01,How many sugarcane stalks are visible?,,6bf92265359c64180e9765fe,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
1.0,1,6.146,shared_balanced_frame_count_smoke_v1,1.0,,1.0,False,8,1.,2.065,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1037,,0.5,rgb,1,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.211,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__02,How many teacups are on the table?,,a70ee859bf94419633543d4d,False,0.0,1.0,counting,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,1.0,1.0,1.0,1.0
0.0,2,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.0,False,8,1.,2.063,frame,wrong_count,incorrect,gemini-3.1-flash-lite,Wrong count.,0.0,1.1528,,0.0,rgb,2.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.209,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__03,How many clay teapots are there?,,d9f819f7059cb800939fbacf,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
0.0,2,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.0,False,8,1.,2.065,frame,wrong_count,incorrect,gemini-3.1-flash-lite,Wrong count.,0.0,1.1283,,0.0,rgb,2.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.211,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__04,How many silver kettles do I see?,,a3a465adb867c6af6ecc9518,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
0.0,1,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.0,False,8,1.,2.06,frame,wrong_count,incorrect,gemini-3.1-flash-lite,Wrong count.,0.0,1.129,,0.0,rgb,2,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.206,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__05,How many glass jars are present?,,1b231c0ceeb58a7e86989632,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
1.0,1,6.146,shared_balanced_frame_count_smoke_v1,1.0,,1.0,False,8,1.,2.063,frame,none,correct,gemini-3.1-flash-lite,Matches ground truth.,1.0,1.1279,,0.5,rgb,1,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,1.0,1.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.209,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__06,How many red baskets are in the background?,,a002f0e87104c323d333f637,False,0.0,1.0,counting,1.0,1.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,1.0,1.0,1.0,1.0
0.0,2,6.146,shared_balanced_frame_count_smoke_v1,0.8408964152537145,,0.0,False,8,1.,2.065,frame,wrong_count,incorrect,gemini-3.1-flash-lite,Wrong count.,0.0,1.1303,,0.0,rgb,2.,internvl:InternVL3_5-8B-Instruct:frame:14b0c2e5,models/internvl/InternVL3_5-8B-Instruct,0.0,0.0,aligned_dataset/brew_tea_split/Seg1/rgb,8.211,internvl,rgb__aligned_dataset_brew_tea_split_seg1_rgb__counting__07,How many large pots with glass lids are there?,,c8b59515ed832aca0e5b2b07,False,0.0,0.0,counting,0.0,0.0,outputs/benchmarks/vlm_8frame_aligned/frames_8/internvl_InternVL3_5-8B-Instruct.json,answered,numeric_accuracy,Counting question.,0.0,0.0,0.0,0.0
